day;new_expositions;immune;active_cases_1;new_expositions_1;active_cases_2;new_expositions_2;strain2 %;max_expositions;max_expositions_1;max_expositions_2;
1;0;0;0;0;0;0;0;0;0;0;
2;0;0;0;0;0;0;0;0;0;0;
3;0;0;0;0;0;0;0;0;0;0;
4;5.42199e-05;5.42199e-05;9.03688e-05;5.42199e-05;0;0;0;5.42199e-05;5.42199e-05;0;
5;5.28616e-05;0.000105726;8.81096e-05;5.28616e-05;0;0;0;5.42199e-05;5.42199e-05;0;
6;5.15375e-05;0.00015462;8.59068e-05;5.15375e-05;0;0;0;5.42199e-05;5.42199e-05;0;
7;5.02467e-05;0.000201002;8.37592e-05;5.02467e-05;0;0;0;5.42199e-05;5.42199e-05;0;
8;2.93925e-05;0.000225369;4.89978e-05;2.93925e-05;0;0;0;5.42199e-05;5.42199e-05;0;
9;5.73118e-05;0.000277047;9.55433e-05;5.73118e-05;0;0;0;5.73118e-05;5.73118e-05;0;
10;8.38112e-05;0.000353932;0.000139729;8.38112e-05;0;0;0;8.38112e-05;8.38112e-05;0;
11;0.000108942;0.000454026;0.000181643;0.000108942;0;0;0;0.000108942;0.000108942;0;
12;9.55841e-05;0.000538259;0.000159385;9.55841e-05;0;0;0;0.000108942;0.000108942;0;
13;9.83572e-05;0.00062316;0.000164022;9.83572e-05;0;0;0;0.000108942;0.000108942;0;
14;0.000116067;0.000723648;0.000193573;0.000116067;0;0;0;0.000116067;0.000116067;0;
15;0.000147575;0.000853131;0.000246149;0.000147575;0;0;0;0.000147575;0.000147575;0;
16;0.000181256;0.00101306;0.00030237;0.000181256;0;0;0;0.000181256;0.000181256;0;
17;0.000201916;0.00118965;0.000336891;0.000201916;0;0;0;0.000201916;0.000201916;0;
18;0.000218671;0.00137858;0.000364913;0.000218671;0;0;0;0.000218671;0.000218671;0;
19;0.00023976;0.00158387;0.000400184;0.00023976;0;0;0;0.00023976;0.00023976;0;
20;0.000285071;0.00182935;0.000475919;0.000285071;0;0;0;0.000285071;0.000285071;0;
21;0.000339039;0.00212265;0.000566166;0.000339039;0;0;0;0.000339039;0.000339039;0;
22;0.000392015;0.0024616;0.000654836;0.000392015;0;0;0;0.000392015;0.000392015;0;
23;0.00043962;0.00283968;0.000734616;0.00043962;0;0;0;0.00043962;0.00043962;0;
24;0.000494018;0.00326271;0.000825843;0.000494018;0;0;0;0.000494018;0.000494018;0;
25;0.000566053;0.00374719;0.000946688;0.000566053;0;0;0;0.000566053;0.000566053;0;
26;0.000656607;0.00431012;0.0010987;0.000656607;0;0;0;0.000656607;0.000656607;0;
27;0.000760143;0.00496251;0.00127271;0.000760143;0;0;0;0.000760143;0.000760143;0;
28;0.000868135;0.00570658;0.00145453;0.000868135;0;0;0;0.000868135;0.000868135;0;
29;0.000985712;0.00654963;0.00165282;0.000985712;0;0;0;0.000985712;0.000985712;0;
30;0.00112301;0.0075089;0.00188473;0.00112301;0;0;0;0.00112301;0.00112301;0;
31;0.00128901;0.00861019;0.00216553;0.00128901;0;0;0;0.00128901;0.00128901;0;
32;0.00148188;0.00987681;0.00249247;0.00148188;0;0;0;0.00148188;0.00148188;0;
33;0.0016973;0.0113272;0.00285867;0.0016973;0;0;0;0.0016973;0.0016973;0;
