day;new_expositions;immune;active_cases_1;new_expositions_1;active_cases_2;new_expositions_2;strain2 %;max_expositions;max_expositions_1;max_expositions_2;
1;0;0.4;0;0;0;0;0;0;0;0;
2;0;0.4;0;0;0;0;0;0;0;0;
3;0;0.4;0;0;0;0;0;0;0;0;
4;3.25319e-05;0.400033;9.03688e-05;3.25319e-05;0;0;0;3.25319e-05;3.25319e-05;0;
5;3.1717e-05;0.400063;8.81096e-05;3.1717e-05;0;0;0;3.25319e-05;3.25319e-05;0;
6;3.09225e-05;0.400093;8.59068e-05;3.09225e-05;0;0;0;3.25319e-05;3.25319e-05;0;
7;3.0148e-05;0.400121;8.37592e-05;3.0148e-05;0;0;0;3.25319e-05;3.25319e-05;0;
8;1.05814e-05;0.400128;2.93987e-05;1.05814e-05;0;0;0;3.25319e-05;3.25319e-05;0;
9;2.06327e-05;0.400146;5.7326e-05;2.06327e-05;0;0;0;3.25319e-05;3.25319e-05;0;
10;3.01735e-05;0.400172;8.38371e-05;3.01735e-05;0;0;0;3.25319e-05;3.25319e-05;0;
11;3.92226e-05;0.400207;0.000108986;3.92226e-05;0;0;0;3.92226e-05;3.92226e-05;0;
12;3.21205e-05;0.400234;8.9256e-05;3.21205e-05;0;0;0;3.92226e-05;3.92226e-05;0;
13;2.87051e-05;0.400257;7.97684e-05;2.87051e-05;0;0;0;3.92226e-05;3.92226e-05;0;
14;2.87113e-05;0.400279;7.97887e-05;2.87113e-05;0;0;0;3.92226e-05;3.92226e-05;0;
15;3.18874e-05;0.400304;8.86185e-05;3.18874e-05;0;0;0;3.92226e-05;3.92226e-05;0;
16;3.84238e-05;0.400335;0.000106789;3.84238e-05;0;0;0;3.92226e-05;3.92226e-05;0;
17;4.0732e-05;0.400367;0.00011321;4.0732e-05;0;0;0;4.0732e-05;4.0732e-05;0;
18;4.0181e-05;0.400398;0.000111684;4.0181e-05;0;0;0;4.0732e-05;4.0732e-05;0;
19;3.8018e-05;0.400426;0.000105677;3.8018e-05;0;0;0;4.0732e-05;4.0732e-05;0;
20;4.01206e-05;0.400456;0.000111527;4.01206e-05;0;0;0;4.0732e-05;4.0732e-05;0;
21;4.3924e-05;0.400488;0.000122106;4.3924e-05;0;0;0;4.3924e-05;4.3924e-05;0;
22;4.74507e-05;0.400524;0.000131917;4.74507e-05;0;0;0;4.74507e-05;4.74507e-05;0;
23;4.92526e-05;0.40056;0.000136935;4.92526e-05;0;0;0;4.92526e-05;4.92526e-05;0;
24;4.97728e-05;0.400595;0.000138389;4.97728e-05;0;0;0;4.97728e-05;4.97728e-05;0;
25;5.0838e-05;0.400631;0.000141359;5.0838e-05;0;0;0;5.0838e-05;5.0838e-05;0;
26;5.31842e-05;0.400669;0.000147892;5.31842e-05;0;0;0;5.31842e-05;5.31842e-05;0;
27;5.6692e-05;0.400709;0.000157656;5.6692e-05;0;0;0;5.6692e-05;5.6692e-05;0;
28;5.96629e-05;0.400751;0.000165929;5.96629e-05;0;0;0;5.96629e-05;5.96629e-05;0;
29;6.17882e-05;0.400794;0.000171852;6.17882e-05;0;0;0;6.17882e-05;6.17882e-05;0;
30;6.35867e-05;0.400838;0.000176867;6.35867e-05;0;0;0;6.35867e-05;6.35867e-05;0;
31;6.59504e-05;0.400883;0.000183455;6.59504e-05;0;0;0;6.59504e-05;6.59504e-05;0;
32;6.90667e-05;0.40093;0.000192138;6.90667e-05;0;0;0;6.90667e-05;6.90667e-05;0;
33;7.24819e-05;0.400979;0.000201655;7.24819e-05;0;0;0;7.24819e-05;7.24819e-05;0;
34;7.57063e-05;0.40103;0.000210643;7.57063e-05;0;0;0;7.57063e-05;7.57063e-05;0;
35;7.85874e-05;0.401083;0.000218678;7.85874e-05;0;0;0;7.85874e-05;7.85874e-05;0;
36;8.15357e-05;0.401137;0.000226902;8.15357e-05;0;0;0;8.15357e-05;8.15357e-05;0;
37;8.48946e-05;0.401194;0.000236271;8.48946e-05;0;0;0;8.48946e-05;8.48946e-05;0;
38;8.86877e-05;0.401253;0.000246851;8.86877e-05;0;0;0;8.86877e-05;8.86877e-05;0;
39;9.26265e-05;0.401314;0.00025784;9.26265e-05;0;0;0;9.26265e-05;9.26265e-05;0;
40;9.65084e-05;0.401378;0.000268673;9.65084e-05;0;0;0;9.65084e-05;9.65084e-05;0;
41;0.00010038;0.401444;0.000279482;0.00010038;0;0;0;0.00010038;0.00010038;0;
42;0.000104439;0.401512;0.000290815;0.000104439;0;0;0;0.000104439;0.000104439;0;
43;0.000108828;0.401583;0.000303072;0.000108828;0;0;0;0.000108828;0.000108828;0;
44;0.000113501;0.401657;0.000316122;0.000113501;0;0;0;0.000113501;0.000113501;0;
45;0.000118326;0.401734;0.000329602;0.000118326;0;0;0;0.000118326;0.000118326;0;
46;0.000123233;0.401814;0.000343316;0.000123233;0;0;0;0.000123233;0.000123233;0;
47;0.000128285;0.401897;0.000357436;0.000128285;0;0;0;0.000128285;0.000128285;0;
48;0.000133585;0.401983;0.000372256;0.000133585;0;0;0;0.000133585;0.000133585;0;
49;0.00013918;0.402072;0.000387904;0.00013918;0;0;0;0.00013918;0.00013918;0;
50;0.000145034;0.402166;0.00040428;0.000145034;0;0;0;0.000145034;0.000145034;0;
51;0.00015109;0.402263;0.000421227;0.00015109;0;0;0;0.00015109;0.00015109;0;
52;0.000157341;0.402363;0.000438725;0.000157341;0;0;0;0.000157341;0.000157341;0;
53;0.000163831;0.402468;0.000456901;0.000163831;0;0;0;0.000163831;0.000163831;0;
54;0.000170616;0.402577;0.000475905;0.000170616;0;0;0;0.000170616;0.000170616;0;
55;0.000177709;0.40269;0.000495782;0.000177709;0;0;0;0.000177709;0.000177709;0;
56;0.000185093;0.402808;0.000516482;0.000185093;0;0;0;0.000185093;0.000185093;0;
57;0.000192752;0.402931;0.00053796;0.000192752;0;0;0;0.000192752;0.000192752;0;
58;0.000200698;0.403058;0.000560252;0.000200698;0;0;0;0.000200698;0.000200698;0;
59;0.000208964;0.403191;0.000583451;0.000208964;0;0;0;0.000208964;0.000208964;0;
60;0.000217578;0.403328;0.000607639;0.000217578;0;0;0;0.000217578;0.000217578;0;
